roomId,areaNum,toArea,distance
1,0,2,94
1,0,3,68
1,0,4,49
2,0,0,24
2,0,1,36
2,0,2,74
2,0,3,48
2,0,4,67
3,0,0,12
3,0,1,58
3,0,2,68
3,0,3,42
3,0,4,31
4,0,0,7
4,0,1,47
4,0,2,85
4,0,3,59
4,0,4,50
5,0,0,16
5,0,1,50
5,0,2,64
5,0,3,38
5,0,4,39
6,0,0,27
6,0,1,69
6,0,2,107
6,0,3,81
6,0,4,58
7,0,0,23
7,0,1,65
7,0,2,103
7,0,3,77
7,0,4,54
8,0,0,8
8,0,1,50
8,0,2,88
8,0,3,62
8,0,4,43
9,0,0,5
9,0,1,47
9,0,2,85
9,0,3,59
9,0,4,46
10,0,0,29
10,0,1,41
10,0,2,51
10,0,3,25
10,0,4,48
11,0,0,9
11,0,1,47
11,0,2,71
11,0,3,45
11,0,4,42
12,0,0,24
12,0,1,70
12,0,2,82
12,0,3,56
12,0,4,33
13,0,0,14
13,0,1,58
13,0,2,94
13,0,3,68
13,0,4,45
14,0,0,18
14,0,1,60
14,0,2,98
14,0,3,72
14,0,4,49
15,0,0,6
15,0,1,42
15,0,2,74
15,0,3,48
15,0,4,47
16,0,0,7
16,0,1,53
16,0,2,75
16,0,3,49
16,0,4,36
17,0,0,14
17,0,1,60
17,0,2,74
17,0,3,48
17,0,4,29
18,0,0,23
18,0,1,35
18,0,2,57
18,0,3,31
18,0,4,54
19,0,0,16
19,0,1,42
19,0,2,64
19,0,3,38
19,0,4,47
20,1,0,47
20,1,1,21
20,1,2,59
20,1,3,63
20,1,4,90
21,1,0,55
21,1,1,15
21,1,2,27
21,1,3,47
21,1,4,74
22,1,0,38
22,1,1,16
22,1,2,42
22,1,3,46
22,1,4,73
23,1,0,64
23,1,1,18
23,1,2,60
23,1,3,80
23,1,4,107
24,1,0,59
24,1,1,17
24,1,2,35
24,1,3,55
24,1,4,82
25,1,0,51
25,1,1,9
25,1,2,47
25,1,3,67
25,1,4,94
26,1,0,52
26,1,1,10
26,1,2,32
26,1,3,52
26,1,4,79
27,1,0,41
27,1,1,5
27,1,2,41
27,1,3,57
27,1,4,84
28,1,0,47
28,1,1,7
28,1,2,35
28,1,3,55
28,1,4,82
29,1,0,56
29,1,1,10
29,1,2,52
29,1,3,72
29,1,4,99
30,1,0,46
30,1,1,30
30,1,2,34
30,1,3,32
30,1,4,59
31,1,0,49
31,1,1,7
31,1,2,45
31,1,3,65
31,1,4,92
32,1,0,54
32,1,1,8
32,1,2,50
32,1,3,70
32,1,4,97
33,1,0,44
33,1,1,4
33,1,2,38
33,1,3,58
33,1,4,85
34,1,0,47
34,1,1,13
34,1,2,51
34,1,3,63
34,1,4,90
35,1,0,65
35,1,1,19
35,1,2,61
35,1,3,81
35,1,4,108
36,1,0,51
36,1,1,9
36,1,2,47
36,1,3,67
36,1,4,94
37,1,0,45
37,1,1,9
37,1,2,47
37,1,3,61
37,1,4,88
38,1,0,57
38,1,1,15
38,1,2,47
38,1,3,67
38,1,4,94
39,1,0,60
39,1,1,14
39,1,2,56
39,1,3,76
39,1,4,103
40,2,0,94
40,2,1,52
40,2,2,14
40,2,3,40
40,2,4,63
41,2,0,72
41,2,1,30
41,2,2,26
41,2,3,46
41,2,4,73
42,2,0,92
42,2,1,72
42,2,2,30
42,2,3,38
42,2,4,61
43,2,0,75
43,2,1,53
43,2,2,11
43,2,3,21
43,2,4,44
44,2,0,92
44,2,1,50
44,2,2,12
44,2,3,38
44,2,4,61
45,2,0,107
45,2,1,65
45,2,2,27
45,2,3,53
45,2,4,76
46,2,0,71
46,2,1,29
46,2,2,33
46,2,3,53
46,2,4,80
47,2,0,77
47,2,1,47
47,2,2,5
47,2,3,23
47,2,4,46
48,2,0,71
48,2,1,43
48,2,2,9
48,2,3,19
48,2,4,46
49,2,0,58
49,2,1,34
49,2,2,22
49,2,3,28
49,2,4,55
50,2,0,89
50,2,1,47
50,2,2,9
50,2,3,35
50,2,4,58
51,2,0,78
51,2,1,58
51,2,2,16
51,2,3,24
51,2,4,47
52,2,0,93
52,2,1,51
52,2,2,13
52,2,3,39
52,2,4,62
53,2,0,61
53,2,1,43
53,2,2,19
53,2,3,19
53,2,4,46
54,2,0,87
54,2,1,65
54,2,2,23
54,2,3,33
54,2,4,56
55,2,0,70
55,2,1,34
55,2,2,10
55,2,3,28
55,2,4,55
56,2,0,103
56,2,1,61
56,2,2,23
56,2,3,49
56,2,4,72
57,2,0,77
57,2,1,35
57,2,2,17
57,2,3,37
57,2,4,64
58,2,0,62
58,2,1,32
58,2,2,18
58,2,3,30
58,2,4,57
59,2,0,87
59,2,1,55
59,2,2,13
59,2,3,33
59,2,4,56
60,3,0,61
60,3,1,59
60,3,2,19
60,3,3,7
60,3,4,30
61,3,0,63
61,3,1,47
61,3,2,17
61,3,3,15
61,3,4,42
62,3,0,49
62,3,1,45
62,3,2,31
62,3,3,17
62,3,4,44
63,3,0,31
63,3,1,53
63,3,2,49
63,3,3,23
63,3,4,36
64,3,0,58
64,3,1,60
64,3,2,22
64,3,3,4
64,3,4,29
65,3,0,64
65,3,1,76
65,3,2,34
65,3,3,14
65,3,4,33
66,3,0,63
66,3,1,75
66,3,2,33
66,3,3,13
66,3,4,32
67,3,0,62
67,3,1,84
67,3,2,42
67,3,3,22
67,3,4,31
68,3,0,70
68,3,1,58
68,3,2,16
68,3,3,16
68,3,4,39
69,3,0,40
69,3,1,42
69,3,2,40
69,3,3,20
69,3,4,47
70,3,0,51
70,3,1,45
70,3,2,29
70,3,3,17
70,3,4,44
71,3,0,52
71,3,1,80
71,3,2,38
71,3,3,18
71,3,4,21
72,3,0,76
72,3,1,84
72,3,2,42
72,3,3,22
72,3,4,45
73,3,0,60
73,3,1,90
73,3,2,48
73,3,3,28
73,3,4,29
74,3,0,40
74,3,1,38
74,3,2,40
74,3,3,24
74,3,4,51
75,3,0,50
75,3,1,44
75,3,2,30
75,3,3,18
75,3,4,45
76,3,0,41
76,3,1,47
76,3,2,39
76,3,3,15
76,3,4,42
77,3,0,39
77,3,1,43
77,3,2,41
77,3,3,19
77,3,4,46
78,3,0,60
78,3,1,74
78,3,2,32
78,3,3,12
78,3,4,29
79,3,0,61
79,3,1,87
79,3,2,45
79,3,3,25
79,3,4,30
80,4,0,57
80,4,1,97
80,4,2,55
80,4,3,35
80,4,4,26
81,4,0,39
81,4,1,79
81,4,2,41
81,4,3,17
81,4,4,10
82,4,0,49
82,4,1,93
82,4,2,51
82,4,3,31
82,4,4,18
83,4,0,35
83,4,1,77
83,4,2,45
83,4,3,19
83,4,4,12
84,4,0,64
84,4,1,110
84,4,2,68
84,4,3,48
84,4,4,21
85,4,0,37
85,4,1,83
85,4,2,71
85,4,3,45
85,4,4,22
86,4,0,28
86,4,1,74
86,4,2,68
86,4,3,42
86,4,4,19
87,4,0,30
87,4,1,76
87,4,2,50
87,4,3,24
87,4,4,13
88,4,0,53
88,4,1,87
88,4,2,45
88,4,3,25
88,4,4,22
89,4,0,54
89,4,1,100
89,4,2,58
89,4,3,38
89,4,4,11
90,4,0,53
90,4,1,99
90,4,2,57
90,4,3,37
90,4,4,10
91,4,0,39
91,4,1,85
91,4,2,61
91,4,3,35
91,4,4,12
92,4,0,69
92,4,1,115
92,4,2,73
92,4,3,53
92,4,4,26
93,4,0,60
93,4,1,106
93,4,2,64
93,4,3,44
93,4,4,17
94,4,0,38
94,4,1,84
94,4,2,72
94,4,3,46
94,4,4,23
95,4,0,70
95,4,1,116
95,4,2,74
95,4,3,54
95,4,4,27
96,4,0,22
96,4,1,58
96,4,2,58
96,4,3,32
96,4,4,31
97,4,0,22
97,4,1,68
97,4,2,62
97,4,3,36
97,4,4,21
98,4,0,57
98,4,1,103
98,4,2,61
98,4,3,41
98,4,4,24
99,4,0,26
99,4,1,60
99,4,2,54
99,4,3,28
99,4,4,29
0,0,0,12
0,0,1,42
0,0,2,80
0,0,3,54
0,0,4,55
1,0,0,14
1,0,1,56
1,0,2,94
1,0,3,68
1,0,4,49
2,0,0,24
2,0,1,36
2,0,2,74
2,0,3,48
2,0,4,67
3,0,0,12
3,0,1,58
3,0,2,68
3,0,3,42
3,0,4,31
4,0,0,7
4,0,1,47
4,0,2,85
4,0,3,59
4,0,4,50
5,0,0,16
5,0,1,50
5,0,2,64
5,0,3,38
5,0,4,39
6,0,0,27
6,0,1,69
6,0,2,107
6,0,3,81
6,0,4,58
7,0,0,23
7,0,1,65
7,0,2,103
7,0,3,77
7,0,4,54
8,0,0,8
8,0,1,50
8,0,2,88
8,0,3,62
8,0,4,43
9,0,0,5
9,0,1,47
9,0,2,85
9,0,3,59
9,0,4,46
10,0,0,29
10,0,1,41
10,0,2,51
10,0,3,25
10,0,4,48
11,0,0,9
11,0,1,47
11,0,2,71
11,0,3,45
11,0,4,42
12,0,0,24
12,0,1,70
12,0,2,82
12,0,3,56
12,0,4,33
13,0,0,14
13,0,1,58
13,0,2,94
13,0,3,68
13,0,4,45
14,0,0,18
14,0,1,60
14,0,2,98
14,0,3,72
14,0,4,49
15,0,0,6
15,0,1,42
15,0,2,74
15,0,3,48
15,0,4,47
16,0,0,7
16,0,1,53
16,0,2,75
16,0,3,49
16,0,4,36
17,0,0,14
17,0,1,60
17,0,2,74
17,0,3,48
17,0,4,29
18,0,0,23
18,0,1,35
18,0,2,57
18,0,3,31
18,0,4,54
19,0,0,16
19,0,1,42
19,0,2,64
19,0,3,38
19,0,4,47
20,1,0,47
20,1,1,21
20,1,2,59
20,1,3,63
20,1,4,90
21,1,0,55
21,1,1,15
21,1,2,27
21,1,3,47
21,1,4,74
22,1,0,38
22,1,1,16
22,1,2,42
22,1,3,46
22,1,4,73
23,1,0,64
23,1,1,18
23,1,2,60
23,1,3,80
23,1,4,107
24,1,0,59
24,1,1,17
24,1,2,35
24,1,3,55
24,1,4,82
25,1,0,51
25,1,1,9
25,1,2,47
25,1,3,67
25,1,4,94
26,1,0,52
26,1,1,10
26,1,2,32
26,1,3,52
26,1,4,79
27,1,0,41
27,1,1,5
27,1,2,41
27,1,3,57
27,1,4,84
28,1,0,47
28,1,1,7
28,1,2,35
28,1,3,55
28,1,4,82
29,1,0,56
29,1,1,10
29,1,2,52
29,1,3,72
29,1,4,99
30,1,0,46
30,1,1,30
30,1,2,34
30,1,3,32
30,1,4,59
31,1,0,49
31,1,1,7
31,1,2,45
31,1,3,65
31,1,4,92
32,1,0,54
32,1,1,8
32,1,2,50
32,1,3,70
32,1,4,97
33,1,0,44
33,1,1,4
33,1,2,38
33,1,3,58
33,1,4,85
34,1,0,47
34,1,1,13
34,1,2,51
34,1,3,63
34,1,4,90
35,1,0,65
35,1,1,19
35,1,2,61
35,1,3,81
35,1,4,108
36,1,0,51
36,1,1,9
36,1,2,47
36,1,3,67
36,1,4,94
37,1,0,45
37,1,1,9
37,1,2,47
37,1,3,61
37,1,4,88
38,1,0,57
38,1,1,15
38,1,2,47
38,1,3,67
38,1,4,94
39,1,0,60
39,1,1,14
39,1,2,56
39,1,3,76
39,1,4,103
40,2,0,94
40,2,1,52
40,2,2,14
40,2,3,40
40,2,4,63
41,2,0,72
41,2,1,30
41,2,2,26
41,2,3,46
41,2,4,73
42,2,0,92
42,2,1,72
42,2,2,30
42,2,3,38
42,2,4,61
43,2,0,75
43,2,1,53
43,2,2,11
43,2,3,21
43,2,4,44
44,2,0,92
44,2,1,50
44,2,2,12
44,2,3,38
44,2,4,61
45,2,0,107
45,2,1,65
45,2,2,27
45,2,3,53
45,2,4,76
46,2,0,71
46,2,1,29
46,2,2,33
46,2,3,53
46,2,4,80
47,2,0,77
47,2,1,47
47,2,2,5
47,2,3,23
47,2,4,46
48,2,0,71
48,2,1,43
48,2,2,9
48,2,3,19
48,2,4,46
49,2,0,58
49,2,1,34
49,2,2,22
49,2,3,28
49,2,4,55
50,2,0,89
50,2,1,47
50,2,2,9
50,2,3,35
50,2,4,58
51,2,0,78
51,2,1,58
51,2,2,16
51,2,3,24
51,2,4,47
52,2,0,93
52,2,1,51
52,2,2,13
52,2,3,39
52,2,4,62
53,2,0,61
53,2,1,43
53,2,2,19
53,2,3,19
53,2,4,46
54,2,0,87
54,2,1,65
54,2,2,23
54,2,3,33
54,2,4,56
55,2,0,70
55,2,1,34
55,2,2,10
55,2,3,28
55,2,4,55
56,2,0,103
56,2,1,61
56,2,2,23
56,2,3,49
56,2,4,72
57,2,0,77
57,2,1,35
57,2,2,17
57,2,3,37
57,2,4,64
58,2,0,62
58,2,1,32
58,2,2,18
58,2,3,30
58,2,4,57
59,2,0,87
59,2,1,55
59,2,2,13
59,2,3,33
59,2,4,56
60,3,0,61
60,3,1,59
60,3,2,19
60,3,3,7
60,3,4,30
61,3,0,63
61,3,1,47
61,3,2,17
61,3,3,15
61,3,4,42
62,3,0,49
62,3,1,45
62,3,2,31
62,3,3,17
62,3,4,44
63,3,0,31
63,3,1,53
63,3,2,49
63,3,3,23
63,3,4,36
64,3,0,58
64,3,1,60
64,3,2,22
64,3,3,4
64,3,4,29
65,3,0,64
65,3,1,76
65,3,2,34
65,3,3,14
65,3,4,33
66,3,0,63
66,3,1,75
66,3,2,33
66,3,3,13
66,3,4,32
67,3,0,62
67,3,1,84
67,3,2,42
67,3,3,22
67,3,4,31
68,3,0,70
68,3,1,58
68,3,2,16
68,3,3,16
68,3,4,39
69,3,0,40
69,3,1,42
69,3,2,40
69,3,3,20
69,3,4,47
70,3,0,51
70,3,1,45
70,3,2,29
70,3,3,17
70,3,4,44
71,3,0,52
71,3,1,80
71,3,2,38
71,3,3,18
71,3,4,21
72,3,0,76
72,3,1,84
72,3,2,42
72,3,3,22
72,3,4,45
73,3,0,60
73,3,1,90
73,3,2,48
73,3,3,28
73,3,4,29
74,3,0,40
74,3,1,38
74,3,2,40
74,3,3,24
74,3,4,51
75,3,0,50
75,3,1,44
75,3,2,30
75,3,3,18
75,3,4,45
76,3,0,41
76,3,1,47
76,3,2,39
76,3,3,15
76,3,4,42
77,3,0,39
77,3,1,43
77,3,2,41
77,3,3,19
77,3,4,46
78,3,0,60
78,3,1,74
78,3,2,32
78,3,3,12
78,3,4,29
79,3,0,61
79,3,1,87
79,3,2,45
79,3,3,25
79,3,4,30
80,4,0,57
80,4,1,97
80,4,2,55
80,4,3,35
80,4,4,26
81,4,0,39
81,4,1,79
81,4,2,41
81,4,3,17
81,4,4,10
82,4,0,49
82,4,1,93
82,4,2,51
82,4,3,31
82,4,4,18
83,4,0,35
83,4,1,77
83,4,2,45
83,4,3,19
83,4,4,12
84,4,0,64
84,4,1,110
84,4,2,68
84,4,3,48
84,4,4,21
85,4,0,37
85,4,1,83
85,4,2,71
85,4,3,45
85,4,4,22
86,4,0,28
86,4,1,74
86,4,2,68
86,4,3,42
86,4,4,19
87,4,0,30
87,4,1,76
87,4,2,50
87,4,3,24
87,4,4,13
88,4,0,53
88,4,1,87
88,4,2,45
88,4,3,25
88,4,4,22
89,4,0,54
89,4,1,100
89,4,2,58
89,4,3,38
89,4,4,11
90,4,0,53
90,4,1,99
90,4,2,57
90,4,3,37
90,4,4,10
91,4,0,39
91,4,1,85
91,4,2,61
91,4,3,35
91,4,4,12
92,4,0,69
92,4,1,115
92,4,2,73
92,4,3,53
92,4,4,26
93,4,0,60
93,4,1,106
93,4,2,64
93,4,3,44
93,4,4,17
94,4,0,38
94,4,1,84
94,4,2,72
94,4,3,46
94,4,4,23
95,4,0,70
95,4,1,116
95,4,2,74
95,4,3,54
95,4,4,27
96,4,0,22
96,4,1,58
96,4,2,58
96,4,3,32
96,4,4,31
97,4,0,22
97,4,1,68
97,4,2,62
97,4,3,36
97,4,4,21
98,4,0,57
98,4,1,103
98,4,2,61
98,4,3,41
98,4,4,24
99,4,0,26
99,4,1,60
99,4,2,54
99,4,3,28
99,4,4,29
0,0,0,12
0,0,1,42
0,0,2,80
0,0,3,54
0,0,4,55
1,0,0,14
1,0,1,56
1,0,2,94
1,0,3,68
1,0,4,49
2,0,0,24
2,0,1,36
2,0,2,74
2,0,3,48
2,0,4,67
3,0,0,12
3,0,1,58
3,0,2,68
3,0,3,42
3,0,4,31
4,0,0,7
4,0,1,47
4,0,2,85
4,0,3,59
4,0,4,50
5,0,0,16
5,0,1,50
5,0,2,64
5,0,3,38
5,0,4,39
6,0,0,27
6,0,1,69
6,0,2,107
6,0,3,81
6,0,4,58
7,0,0,23
7,0,1,65
7,0,2,103
7,0,3,77
7,0,4,54
8,0,0,8
8,0,1,50
8,0,2,88
8,0,3,62
8,0,4,43
9,0,0,5
9,0,1,47
9,0,2,85
9,0,3,59
9,0,4,46
10,0,0,29
10,0,1,41
10,0,2,51
10,0,3,25
10,0,4,48
11,0,0,9
11,0,1,47
11,0,2,71
11,0,3,45
11,0,4,42
12,0,0,24
12,0,1,70
12,0,2,82
12,0,3,56
12,0,4,33
13,0,0,14
13,0,1,58
13,0,2,94
13,0,3,68
13,0,4,45
14,0,0,18
14,0,1,60
14,0,2,98
14,0,3,72
14,0,4,49
15,0,0,6
15,0,1,42
15,0,2,74
15,0,3,48
15,0,4,47
16,0,0,7
16,0,1,53
16,0,2,75
16,0,3,49
16,0,4,36
17,0,0,14
17,0,1,60
17,0,2,74
17,0,3,48
17,0,4,29
18,0,0,23
18,0,1,35
18,0,2,57
18,0,3,31
18,0,4,54
19,0,0,16
19,0,1,42
19,0,2,64
19,0,3,38
19,0,4,47
20,1,0,47
20,1,1,21
20,1,2,59
20,1,3,63
20,1,4,90
21,1,0,55
21,1,1,15
21,1,2,27
21,1,3,47
21,1,4,74
22,1,0,38
22,1,1,16
22,1,2,42
22,1,3,46
22,1,4,73
23,1,0,64
23,1,1,18
23,1,2,60
23,1,3,80
23,1,4,107
24,1,0,59
24,1,1,17
24,1,2,35
24,1,3,55
24,1,4,82
25,1,0,51
25,1,1,9
25,1,2,47
25,1,3,67
25,1,4,94
26,1,0,52
26,1,1,10
26,1,2,32
26,1,3,52
26,1,4,79
27,1,0,41
27,1,1,5
27,1,2,41
27,1,3,57
27,1,4,84
28,1,0,47
28,1,1,7
28,1,2,35
28,1,3,55
28,1,4,82
29,1,0,56
29,1,1,10
29,1,2,52
29,1,3,72
29,1,4,99
30,1,0,46
30,1,1,30
30,1,2,34
30,1,3,32
30,1,4,59
31,1,0,49
31,1,1,7
31,1,2,45
31,1,3,65
31,1,4,92
32,1,0,54
32,1,1,8
32,1,2,50
32,1,3,70
32,1,4,97
33,1,0,44
33,1,1,4
33,1,2,38
33,1,3,58
33,1,4,85
34,1,0,47
34,1,1,13
34,1,2,51
34,1,3,63
34,1,4,90
35,1,0,65
35,1,1,19
35,1,2,61
35,1,3,81
35,1,4,108
36,1,0,51
36,1,1,9
36,1,2,47
36,1,3,67
36,1,4,94
37,1,0,45
37,1,1,9
37,1,2,47
37,1,3,61
37,1,4,88
38,1,0,57
38,1,1,15
38,1,2,47
38,1,3,67
38,1,4,94
39,1,0,60
39,1,1,14
39,1,2,56
39,1,3,76
39,1,4,103
40,2,0,94
40,2,1,52
40,2,2,14
40,2,3,40
40,2,4,63
41,2,0,72
41,2,1,30
41,2,2,26
41,2,3,46
41,2,4,73
42,2,0,92
42,2,1,72
42,2,2,30
42,2,3,38
42,2,4,61
43,2,0,75
43,2,1,53
43,2,2,11
43,2,3,21
43,2,4,44
44,2,0,92
44,2,1,50
44,2,2,12
44,2,3,38
44,2,4,61
45,2,0,107
45,2,1,65
45,2,2,27
45,2,3,53
45,2,4,76
46,2,0,71
46,2,1,29
46,2,2,33
46,2,3,53
46,2,4,80
47,2,0,77
47,2,1,47
47,2,2,5
47,2,3,23
47,2,4,46
48,2,0,71
48,2,1,43
48,2,2,9
48,2,3,19
48,2,4,46
49,2,0,58
49,2,1,34
49,2,2,22
49,2,3,28
49,2,4,55
50,2,0,89
50,2,1,47
50,2,2,9
50,2,3,35
50,2,4,58
51,2,0,78
51,2,1,58
51,2,2,16
51,2,3,24
51,2,4,47
52,2,0,93
52,2,1,51
52,2,2,13
52,2,3,39
52,2,4,62
53,2,0,61
53,2,1,43
53,2,2,19
53,2,3,19
53,2,4,46
54,2,0,87
54,2,1,65
54,2,2,23
54,2,3,33
54,2,4,56
55,2,0,70
55,2,1,34
55,2,2,10
55,2,3,28
55,2,4,55
56,2,0,103
56,2,1,61
56,2,2,23
56,2,3,49
56,2,4,72
57,2,0,77
57,2,1,35
57,2,2,17
57,2,3,37
57,2,4,64
58,2,0,62
58,2,1,32
58,2,2,18
58,2,3,30
58,2,4,57
59,2,0,87
59,2,1,55
59,2,2,13
59,2,3,33
59,2,4,56
60,3,0,61
60,3,1,59
60,3,2,19
60,3,3,7
60,3,4,30
61,3,0,63
61,3,1,47
61,3,2,17
61,3,3,15
61,3,4,42
62,3,0,49
62,3,1,45
62,3,2,31
62,3,3,17
62,3,4,44
63,3,0,31
63,3,1,53
63,3,2,49
63,3,3,23
63,3,4,36
64,3,0,58
64,3,1,60
64,3,2,22
64,3,3,4
64,3,4,29
65,3,0,64
65,3,1,76
65,3,2,34
65,3,3,14
65,3,4,33
66,3,0,63
66,3,1,75
66,3,2,33
66,3,3,13
66,3,4,32
67,3,0,62
67,3,1,84
67,3,2,42
67,3,3,22
67,3,4,31
68,3,0,70
68,3,1,58
68,3,2,16
68,3,3,16
68,3,4,39
69,3,0,40
69,3,1,42
69,3,2,40
69,3,3,20
69,3,4,47
70,3,0,51
70,3,1,45
70,3,2,29
70,3,3,17
70,3,4,44
71,3,0,52
71,3,1,80
71,3,2,38
71,3,3,18
71,3,4,21
72,3,0,76
72,3,1,84
72,3,2,42
72,3,3,22
72,3,4,45
73,3,0,60
73,3,1,90
73,3,2,48
73,3,3,28
73,3,4,29
74,3,0,40
74,3,1,38
74,3,2,40
74,3,3,24
74,3,4,51
75,3,0,50
75,3,1,44
75,3,2,30
75,3,3,18
75,3,4,45
76,3,0,41
76,3,1,47
76,3,2,39
76,3,3,15
76,3,4,42
77,3,0,39
77,3,1,43
77,3,2,41
77,3,3,19
77,3,4,46
78,3,0,60
78,3,1,74
78,3,2,32
78,3,3,12
78,3,4,29
79,3,0,61
79,3,1,87
79,3,2,45
79,3,3,25
79,3,4,30
80,4,0,57
80,4,1,97
80,4,2,55
80,4,3,35
80,4,4,26
81,4,0,39
81,4,1,79
81,4,2,41
81,4,3,17
81,4,4,10
82,4,0,49
82,4,1,93
82,4,2,51
82,4,3,31
82,4,4,18
83,4,0,35
83,4,1,77
83,4,2,45
83,4,3,19
83,4,4,12
84,4,0,64
84,4,1,110
84,4,2,68
84,4,3,48
84,4,4,21
85,4,0,37
85,4,1,83
85,4,2,71
85,4,3,45
85,4,4,22
86,4,0,28
86,4,1,74
86,4,2,68
86,4,3,42
86,4,4,19
87,4,0,30
87,4,1,76
87,4,2,50
87,4,3,24
87,4,4,13
88,4,0,53
88,4,1,87
88,4,2,45
88,4,3,25
88,4,4,22
89,4,0,54
89,4,1,100
89,4,2,58
89,4,3,38
89,4,4,11
90,4,0,53
90,4,1,99
90,4,2,57
90,4,3,37
90,4,4,10
91,4,0,39
91,4,1,85
91,4,2,61
91,4,3,35
91,4,4,12
92,4,0,69
92,4,1,115
92,4,2,73
92,4,3,53
92,4,4,26
93,4,0,60
93,4,1,106
93,4,2,64
93,4,3,44
93,4,4,17
94,4,0,38
94,4,1,84
94,4,2,72
94,4,3,46
94,4,4,23
95,4,0,70
95,4,1,116
95,4,2,74
95,4,3,54
95,4,4,27
96,4,0,22
96,4,1,58
96,4,2,58
96,4,3,32
96,4,4,31
97,4,0,22
97,4,1,68
97,4,2,62
97,4,3,36
97,4,4,21
98,4,0,57
98,4,1,103
98,4,2,61
98,4,3,41
98,4,4,24
99,4,0,26
99,4,1,60
99,4,2,54
99,4,3,28
99,4,4,29
